success,time,distance,speed
1,12.309,69.3660356665,5.6353916375
1,14.652,69.3591478713,4.733766576
1,12.606,69.4270108917,5.5074576306
1,14.85,69.4083510946,4.6739630367
1,14.817,69.4928662034,4.6900766824
1,10.923,69.384065118,6.3521070327
1,12.342,69.4790560697,5.629481127
1,14.652,69.3614759704,4.7339254689
1,12.573,69.5485068913,5.5315761466
1,14.85,69.3588710278,4.6706310456
1,14.256,69.473260098,4.8732645972
1,10.956,69.3681350786,6.3315201788
1,12.375,69.3932123697,5.6075323127
1,14.685,69.4716008551,4.7307865751
1,12.672,69.429388922,5.4789606157
1,14.85,69.3591184243,4.6706477053
1,14.751,69.4274921473,4.7066295266
1,10.659,69.4868179394,6.5190747668
1,12.375,69.3400063021,5.6032328325
1,14.685,69.3929362359,4.7254297743
1,12.606,69.4469499584,5.509039343
1,14.85,69.3766012035,4.6718249969
1,14.322,69.3556983638,4.8425986848
1,10.989,69.6163886008,6.3350976978
1,12.375,69.373031443,5.6059015307
1,14.685,69.3382865947,4.7217083142
1,12.573,69.4942453335,5.5272604258
1,14.85,69.3575053484,4.6705390807
1,14.85,69.4847420903,4.6791072115
1,10.692,69.565290026,6.5062934929
1,12.309,69.3435422772,5.6335642438
1,14.619,69.3665030286,4.7449554025
1,12.705,69.5486331369,5.4741151623
1,14.85,69.4072741842,4.6738905175
1,14.817,69.3298332983,4.6790735843
1,10.824,69.5646269159,6.4268871874
1,12.342,69.3256718111,5.6170532986
1,14.652,69.3805149122,4.735224878
1,12.639,69.5200148879,5.5004363389
1,14.85,69.4359222166,4.6758196779
1,14.883,69.4798323041,4.6684023587
1,10.923,69.581799496,6.3702096032
1,12.441,69.3390785973,5.573432891
1,14.652,69.3288208481,4.7316967546
1,12.606,69.4218145192,5.5070454164
1,14.85,69.380659041,4.6720982519
1,14.85,69.4384332488,4.675988771
1,10.989,69.6290645709,6.3362512122
1,12.441,69.3241430111,5.5722323777
1,14.685,69.3463375141,4.7222565553
1,12.54,69.5099633704,5.5430592799
1,14.85,69.3575642632,4.670543048
1,14.817,69.4401895404,4.6865215321
1,10.956,69.6228152252,6.3547659023
1,12.375,69.4264971993,5.6102219959
1,14.652,69.3673921126,4.734329246
1,12.54,69.4630433124,5.5393176485
1,14.85,69.3661200243,4.6711191936
1,14.19,69.4449877768,4.8939385325
1,10.923,69.5508186311,6.3673733069
1,12.375,69.4490613747,5.6120453636
1,14.685,69.4286642997,4.7278627375
1,12.573,69.423365916,5.521622995
1,14.85,69.4127264745,4.6742576751
1,14.85,69.465079209,4.6777831117
1,10.857,69.3916063807,6.3914162642
1,12.408,69.419102875,5.5947052607
1,14.685,69.4404086014,4.7286624856
1,12.573,69.5228895311,5.5295386567
1,14.85,69.3373515255,4.6691819209
1,14.685,69.377573368,4.7243836138
1,10.956,69.6064025765,6.3532678511
1,12.408,69.3772776327,5.591334432
1,14.718,69.4448690445,4.7183631638
1,12.573,69.4202365598,5.5213741
1,14.85,69.3772501408,4.6718686964
1,14.784,69.3359814132,4.6899338077
1,10.956,69.3415815871,6.3290965304
1,12.441,69.4168438565,5.5796836152
1,14.718,69.3419143509,4.7113680086
1,12.606,69.4843636467,5.5120072701
1,14.85,69.3474844432,4.6698642723
1,14.784,69.3679518152,4.6920963078
1,10.923,69.342300375,6.3482834729
1,12.441,69.4088600564,5.5790418822
1,14.718,69.3906809543,4.7146814074
1,12.606,69.3835330626,5.5040086516
1,14.85,69.4253043013,4.6751046668
1,14.85,69.3947983585,4.6730503945
1,10.989,69.6347811019,6.336771417
1,12.309,69.341675573,5.6334125902
1,14.652,69.3522192937,4.7332937001
1,12.672,69.4490929666,5.4805155435
1,14.817,69.3205554998,4.6784474252
1,14.256,69.4125673133,4.869007247
1,10.659,69.3980107614,6.5107431055
0,36.6166,17.6002400617,0.4806628704
1,14.652,69.4089344438,4.737164513
